Board;Level;Paper;Year;Session;Title;Excerpt;Content;Verified Explanation;Tags
Cambridge;A;7094 - Bangladesh Studies;2016;Aug Sep;If I were able to dig a hole from the U.S. through the center of the earth, what part of China would I end up in?;The U.S. is in the northern hemisphere. If you went straight through the earth's center, you would end up in the southern hemisphere, nowhere near China. Take a globe of the earth and rest it on the palm of your hand like a basketball so that the U.S. is touching your palm. The spot on the globe pointing straight up is on the opposite side of the earth from the U.S. and is where you would come up after your brave digging expedition.;"You would end up in the Indian ocean southwest of Australia. If you were very careful, you could start your dig at just the right spot in Canada and end up on the tiny island of Heard in the middle of the ocean. If you were determined to start on one continent and end on another continent, the closest jumping off point would probably be Peru, which would lead you to Malaysia.

If you still have your heart set on surprising the Chinese farmers by surfacing in their fields, your tunnel will have to start in Argentina. Digging such a tunnel is of course hypothetical. The temperature at the center of the earth is 9800° F and the pressure is about 4 million times higher than at the surface of the earth, according to D. Alfe in his paper ""The ab inito Simulation of the Earth's Core"". No vehicle or digging machine can withstand those temperatures and pressures using current technology. Even if such a miraculous machine were invented, it would have a long way to go. The English Channel Tunnel spans 31 miles underground and took 6 years to build. At that same rate, a tunnel through the earth would take 1600 years to dig.";;faster,regular,buffalo,pipe,planning
Edexcel;A;7110 - Principles of Accounts;2010;Aug Sep;"Is a quadruple rainbow possible?
";Yes, although very rare, it is possible for a human to see four natural rainbows at once in the sky. A rainbow occurs when white sunlight scatters off of raindrops in the air. Because of the dispersive properties of water, the different colors of light in the sunlight bend (refract) different amounts when entering and leaving the raindrop.;"As a result, the different colors leave the raindrop at different angles, making you see the different colors at different locations in the sky. Because this scattering is a geometric effect that depends on the direction of the original incoming sunlight, the rainbow forms as a circle (or part of a circle) that is centered on the point exactly opposite of the sun. The main rainbow (called the ""primary rainbow"") involves sunlight entering the raindrop, reflecting once off the inner back surface of the raindrop, and then exiting the raindrop.

Additionally, light can bounce twice off the inner surface of the raindrop before exiting. The second reflection causes these light rays to exit at an angle that is very different from that of the light rays that only reflect once. Therefore, a secondary rainbow forms that has a larger radius than the primary rainbow. The secondary rainbow is created by the same sunlight and the same refraction process as the primary rainbow, so it is also centered on the point exactly opposite the sun. Because of the additional reflection, the colors in the secondary rainbow are reversed in order compared to the primary rainbow. Since some light is lost out of the raindrop with every reflection, the secondary rainbow is much fainter than the primary rainbow. In principle, the secondary rainbow is always present. However, the secondary rainbow is often so faint that humans can't see it. When viewing conditions are right (i.e. it is an unusually sunny day and there are an unusually high number of raindrops in the air), the secondary rainbow can be seen quite distinctly.

double rainbow
The primary and secondary rainbows are visible in this photograph. Public Domain Image, source: NASA.
As you may have guessed, light can bounce three times off the inner surface of the raindrop before exiting, creating a third-order rainbow; or bounce four times, creating a fourth-order rainbow; and so on. However, the third-order and higher-order rainbows are so faint that they are almost never seen by the naked eye. By using a camera and image enhancements techniques, the third-order rainbow can indeed be imaged. This task is difficult enough that successfully capturing and analyzing the third-order rainbow earned Michael Grossman, Elmar Schmidt, and Alexander Haussmann a publication in the academic journal, Applied Optics. Considering the near impossibility of seeing third- and fourth-order rainbows, how are people able to see four rainbows in the sky at once?

The answer is that some of the sunlight can be reflected before entering the raindrops. Recall that rainbow formation is a geometric scattering effect leading the rainbow to be centered on the point opposite the sun. What would happen if there were two suns at two different locations in the sky? Then sunlight would hit the raindrops at two different angles, and two primary rainbows would result, each centered on a different point. If viewing conditions are favorable enough that the secondary rainbows are visible, then there would be four rainbows: a primary rainbow and a secondary rainbow centered on the point opposite the one sun, as well as a primary rainbow and a secondary rainbow centered on the point opposite the other sun. On planets with rain and two suns, quadruple rainbows are common. However, we don't have two suns, so why am I mentioning this? A large, flat, shiny surface can reflect enough sunlight that the situation acts like two suns. A calm lake does exactly this. The sunlight coming directly from the sun is at an angle that is different from that of the sunlight reflecting off the surface of a lake, and they therefore form different rainbow sets centered on different points. The rainbows formed from the sunlight coming off of the lake are called ""reflection rainbows"". In summary, although it is very rare, it is possible for the naked human eye to see four natural rainbows at once in the sky, consisting of:

The primary rainbow (single reflection inside the raindrop) from direct sunlight.
The secondary rainbow (double reflection inside the raindrop) from direct sunlight.
The primary rainbow (single reflection inside the raindrop) from lake-reflected sunlight.
The secondary rainbow (double reflection inside the raindrop) from lake-reflected sunlight.";In principle, the naked human eye could see six rainbows if there were two different large reflecting surfaces, creating the effect of three suns. For instance, if a large, flat, smooth glacier was sitting next to a lake and its surface was tilted compared to the lake's surface, then if conditions were just right, you could see six rainbows at once. Although physically possible, this situation is exceedingly rare.;toy,log,poor,them,syllable
Edexcel;AS;5070 - Chemistry;2007;Aug Sep;"What causes the water going down a drain to swirl clockwise in the northern hemisphere and counter-clockwise in the southern hemisphere?
";Water swirling down a drain does not always go a certain direction. You can get the same sink to swirl water clockwise one minute and counter-clockwise the next. This misunderstanding has its basis in a very real effect: the Coriolis force. The Coriolis force is in the same family as the centrifugal force.;"It is an inertial force caused by the rotation of an object. It is not imaginary or fictional, but is very real in the rotating reference frame. The Coriolis force tends to make things on the surface of the object to spiral a certain direction. As the earth rotates, this motion causes everything on the surface to experience the Coriolis force, including the water in your sink. But, the Coriolis force is so weak that it doesn't really do anything until it acts on a lot of material. Your sink simply does not have enough water to be affected by the Coriolis force. On the other hand, hurricanes usually spin counter-clockwise in the northern hemisphere and clockwise in the southern hemisphere because they have enough material to be affected by the Coriolis force, as detailed in the textbook ""An Introduction of Dynamic Meteorology"" by James R. Holtone. Tornadoes are too small to be affected by the Coriolis force and spin in any direction. The spinning direction of drain water is random, determined mostly by how the water is bumped, sloshed, or distributed when it starts to drain.";;driven,failed,silly,lead,clothes
Cambridge;O;7094 - Bangladesh Studies;2004;Aug Sep;"What keeps the continents floating on a sea of molten rock?
";"The continents do not float on a sea of molten rock. The continental and oceanic crusts sit on a thick layer of solid rock known as the mantle. While there is a layer of liquid rock in the earth known as the outer core, this layer is about 3000 km below earth's surface and is separated from the surface by the thick solid mantle. The tectonic plates do not slowly drift over time because they are floating on a layer of liquid rock. They drift because they are sitting on a layer of solid rock (the upper mantle or ""asthenosphere"") that is weak and ductile enough that it can flow very slowly under heat convection, somewhat like a liquid.";If there is not a giant sea of magma under the continents, where does lava come from? The molten lava that spews out of volcanoes is created locally right under the volcano rather than being released from a global sea of magma. Magma is created when pressure changes melt the rock. For instance, as two tectonic plates collide, one plate may get forced under the other plate. As it does so, the plate that is forced down (subducted) releases water into the upper mantle which lowers the pressure enough to melt the rock. Localized regions of magma form in the mantle near subduction zones. The mantle can then rise and create volcanoes. The point is that magma is created in small pockets (small relative to the size of the earth) as part of the tectonic plate movement, and does not exist as a global sea of magma just under the crust. The confusion about the state of the upper mantle perhaps arises from the way diagrams are presented. For instance, the image above shows the mantle in a glowing orange color. This coloring can be confused to mean that this layer is hot liquid rock, like lava. In reality, the mantle is solid, and the coloring is just meant to indicate that the rock is hot and flowing slowly under heat convention.;"The textbook Physical Geography by Robert Gabler, James Peterson, L. Trapasso, and Dorothy Sack states, ""Extending down from the base of the lithosphere about 600 kilometers (375 mi) farther into the mantle is the asthenosphere (from Greek: asthenias, without strength), a thick layer of plastic mantle material. The material in the asthenosphere can flow both vertically and horizontally, dragging segments of the overlying, rigid lithosphere along with it.""";congress,large,try,citizen,giving
Edexcel;A;2281 - Economics,;2011;May Jun;"What makes rain drops tear shaped?
";"Raindrops are not tear shaped when falling through the air. They are approximately round. As captured by James E. McDonald in a Journal of Meteorology article titled ""The Shape and Aerodynamics of Large Raindrops"", drops can even take on hamburger shapes when they get big enough. You might think that the resistance of the air flowing passed the falling drop would smear it backwards to form a tail. But the air resistance instead just flattens the front of the drop. The smaller the rain drop, the smaller the effect of air resistance and the more spherical the raindrop becomes.";"Perhaps this misconception arises from the fact that raindrops streaking down a window are tear shaped for the same reason tears streaking down your face are tear shaped: friction. The window, or your skin, has enough friction to drag some of the water back into a tail. The air does not. Tailed drops streaking down a transparent window seem to be falling in air, but are not.

small raindrops are spherical
Small raindrops are spherical, not tear shaped. Public Domain Image, source: USGS.
Topics: air resistance, droplet, drops, precipitation, rain, rain drops, rain shape, tear drops, weather";;sitting,universe,still,silly,double
Edexcel;A;2210 - Computer Science;2021;Aug Sep;"What makes the Sahara the largest desert in the world?
";The Sahara is not the largest desert in the world. Antarctica is the largest desert in the world. Deserts are not defined by hot temperatures and sand dunes. Rather, deserts are defined by a very low amount of rain and snow. These low amounts of precipitation lead to very little liquid water on the ground. As a result, deserts are identified by significantly low amounts of animal and plant life.;"While Antarctica does have a lot of water in the form of ice, its cold temperatures keeps the ice from turning into liquid water even in the summer. The cold temperatures also freeze the water vapor out of the air. The end result is that Antarctica is not only a desert, it is the driest continent in the world. Because the characterizing feature of a desert is dryness and not temperature, there are cold deserts, warm deserts, and hot deserts. This dryness can be caused by a rain shadow effect where mountains block moisture-carrying clouds from reaching the desert region. The dryness of deserts can also be caused by the region simply being too far away from any source of moisture. Lastly, the low moisture characterizing desert terrain can be caused by cold temperatures locking moisture into solid form. The dangers that people associate most commonly with hot deserts; such as sunburn, cracked lips, dehydration, and barren landscapes; are also dangers faced by visitors to Antarctica.";;knife,nature,especially,universe,failed
Cambridge;AS;7110 - Principles of Accounts;2002;Aug Sep;"What makes the soil in tropical rainforests so rich?
";"Actually, the soil in tropical rainforests is very poor. You would think with all that vegetation, warmth, and moisture that the soil must be very rich. But the truth is otherwise, as people who live in these regions are well aware. According to the textbook ""Tropical Rainforests: Latin American Nature and Society in Transition"" edited by Susan E. Place, there are several reasons for the poor soil of tropical rainforests:";"The soil is highly acidic. The roots of plants rely on an acidity difference between the roots and the soil in order to absorb nutrients. When the soil is acidic, there is little difference, and therefore little absorption of nutrients from the soil.
The type of clay particles present in tropical rainforest soil has a poor ability to trap nutrients and stop them from washing away. Even if humans artificially add nutrients to the soil, the nutrients mostly wash away and are not absorbed by the plants.
The high temperature and moisture of tropical rainforests cause dead organic matter in the soil to decompose more quickly than in other climates, thus releasing and losing its nutrients rapidly.
The high volume of rain in tropical rainforests washes nutrients out of the soil more quickly than in other climates.
When farmers cut down tropical rainforests and use its soil to try to grow crops, they find little success because of the poor nature of the soil. The textbook quotes soil authority Robert Pendleton as saying,

""In higher latitudes, and particularly in the United States, a widespread opinion prevails that such humid regions as the enormous Amazon basin, now occupied by luxuriant and apparently limitless tropical high forests, must certainly have rich soils, and hence, great potentialities for the production of food, fiber, and other agricultural crops...on the whole, the soils of the humid equatorial regions have distressingly limited possibilities for plant production... This pessimistic attitude is no longer a result of mere opinion, for in a number of widely scattered regions in the humid low latitudes agricultural scientists have been and still are seriously at work.""";If the soil is so poor in tropical rain forests, how does such a dense array of shrubs and trees grow there? The answer lies above the soil. On the ground of the rain forest, there is a thick layer of quickly decaying plants and animals. Nutrients are washed by the heavy rains almost directly from the rotting surface material into the the trees without entering the soil much.;trap,clothes,again,region,up
Cambridge;A;7010 - Computer Studies;2011;May Jun;What would happen if you fell into a hole that went through the center of the earth?;For the sake of the argument, let's assume you could dig a wide, perfectly straight hole directly down to the center of earth and out to the other side of earth. Further suppose the hole has a strong enough wall to keep it from collapsing or melting. What would happen if you fell into this hole?;"After falling about 0.15 kilometers (0.002% of the way to earth's center), you encounter about 20 atmospheres of air pressure and die from hyperoxia. The farther your corpse falls, the more it becomes crushed by the intense air pressure. Note that this pressure is from the air itself above you pressing down and not from the rocks. As you can see, you do not make it very far at all in your journey through the earth before dying. Let's assume you are able to put on some kind of futuristic pressure suit that can protect you from any amount of pressure. What would happen to you if you fell in the hole with this pressure suit on?

After falling about 1.1 kilometers (0.02% of the way to earth's center), you encounter a temperature of about 320 Kelvin and die of heat stroke. After falling a total distance of about 2.7 kilometers (0.04% of the way to earth's center), your corpse encounters a temperature of about 400 Kelvin and your bodily fluids begin to boil away. Upon falling to about 200 kilometers deep (3% of the way to earth's center), your dried up bones and remnants of flesh encounter a temperature of about 1200 Kelvin and are completely incinerated into dust. Your dust remains then fall the rest of the 6200 kilometers (97% of the way) to the earth's center. As should be obvious, going deep into the earth is generally a bad idea. Even with a pressure suit, you don't get very far before being incinerated from the heat. Note that you don't have to be touching the tunnel walls to feel this heat. The air itself in the tunnel is at these temperatures.

Let's assume you put on some kind of futuristic suit that protects you from all pressure effects, all heat effects, all toxic gas effects, and all radiation effects. Then what happens when you jump in the hole? You accelerate as you fall, picking up speed because of earth's gravity. After about ten seconds, having traveled 0.5 kilometers down (0.008% of the way to earth's center), you reach a maximum speed of about 200 kilometers per hour (120 mph). The air resistance at this speed is high enough to prevent you from accelerating more. The farther you fall, the weaker the gravity becomes because more and more of the earth's mass is above you canceling the gravity from the other side of the earth. Also, as you fall, the air pressure goes up so that the air exerts more force against your motion. With gravity getting weaker, and air resistance getting stronger, your speed steadily drops.

After about a week or so of falling (with a maximum speed of 200 km/h, it takes you a while to travel the 6400 km to the center), you finally reach the exact center of the earth. The strength of gravity at the center of earth is zero because there are equal amounts of matter in all directions, all exerting an equal gravitational pull. Also, the air in the hole is so dense at this point that it is like traveling through soup. The small amount of momentum you have at this point will cause you to overshoot the center of the earth and keep on moving through the hole. But once you are past the center of the earth, ""down"" is now in the other direction, so that you slow down and reverse direction before getting much beyond the center. You continually fall back to the center of earth, overshoot it under your own momentum, and then fall back from the other direction. This motion is much like a yo-yo or a child on a playground swing who is continually overshooting the lowest point. With such thick air, you eventually lose momentum and stop your yo-yo motion about the center of the earth. You end up stuck floating at the center of the earth.";"What if the tunnel was completely evacuated of all its air? Without air, there would be no air resistance. You would therefore accelerate to incredible speeds as you fall, reaching a maximum speed on the order of tens of thousands of kilometers per hour . You reach earth's center in a matter of minutes or hours instead of weeks. With such immense speed, you completely overshoot earth's center. As you travel through the far end of the hole, gravity is now in the opposite direction and slows you down. You are slowed down to zero speed just as you emerge from the hole on the other side of the world. This makes sense from an energy conservation viewpoint: you started at rest at one side of the world, so you must end up at rest on the other side of the world if no energy is lost to air resistance.

Note that numbers in this explanation are very rough estimates and are meant to only illustrate the orders of magnitude to be expected.";death,congress,sky,plan,ought
Edexcel;A;5054 - Physics;2010;Jan Feb;"Where is the safest place to go when a tornado hits?
";Contrary to popular belief, the safest place to go when a tornado hits is not under a highway overpass. This location has little to protect you from debris being thrown around by the tornado. Additionally, overpasses can collapse. Most of the damage that a tornado causes is due to its high winds knocking down structures and hurling debris like bullets. When rocks, metal signs, roof shingles, or wall studs get picked up and thrown at high velocity by the wind, they act like cannonballs;"The main damage from a tornado is not due to an air pressure difference that makes sealed houses explode. For this reason, opening windows before a tornado to relieve air pressure will not lessen the damage. With these concepts in mind, the safest place to go in a tornado strike is not outside, in your car, or under a highway. Tornadoes have been known to pick up cars, trucks, and even buses. The safest place to seek shelter from a tornado is deep inside a strong building where you will be protected from flying debris and collapsing outer walls. The Federal Emergency Management Agency (FEMA) recommends the following course of action in a tornado warning: If you are in a mobile home or outside, get to a solid building as soon as possible. Once in the building, ""Go to a pre-designated shelter area such as a safe room, basement, storm cellar, or the lowest building level...go to a small interior room or hallway on the lowest floor possible."" Furthermore, FEMA recommends that if you can't get to a building in time, seek out a low spot. ""If you can safely get noticeably lower than the level of the roadway, leave your car and lie in that area, covering your head with your hands. Do not get under an overpass or bridge. You are safer in a low, flat location."" Also be aware that a tornado can be touching the ground and causing damage even if it does not appear to visibly reach the ground. The invisible wind of the tornado is what causes the damage and not the funnel cloud trapped in the tornado.";;before,exist,laid,universe,dawn
Cambridge;O;2210 - Computer Science;2004;Oct Nov;"Why can't lightning strike the same place twice?
";Lightning does strike the same place twice. Lighting tends to strike the highest and pointiest object, because it is an electrical current being attracted to the easiest path. If your church steeple is on a hill, it is going to be struck many times.;The Empire State Building in New York City gets struck by lightning 100 times a year according to the National Weather Service. One spot on the Catatumbo River in Venezuela receives thousands of lightning strikes a night (many of them cloud to cloud) as researched by Nelson Falcon of the University of Carabobo.;;room,liquid,honor,song,which
Cambridge;A;7110 - Principles of Accounts;2007;Oct Nov;"Why did so many people believe the world is flat when it is obviously a sphere?
";The earth is not a sphere. The earth is an oblate spheroid with a diameter at the equator that is 43 km larger than at the poles, according to the National Oceanic and Atmospheric Administration.;This bulging at the equator is caused by the spinning motion of the earth, much like how spinning pizza dough in the air causes it to flatten due to centrifugal force. The centrifugal force is very real in the non-inertial frame, and is not imaginary or fictional, but is simply non-fundamental in that it arises from the spinning motion of the frame itself. Furthermore, because of mountains, oceans, hills, canyons, etc., the earth is not really an oblate spheroid. But these deviations from a perfectly smooth oblate spheroid shape are only 0.001% of the earth's radius, so the earth has the shape to a very good approximation.;"Also, virtually nobody has ever believed the earth is flat. This is a myth according to historian Jeffrey Burton Russell, as explained in his book ""Inventing the Flat Earth"". As far back as the ancient Greeks, man has known the earth is round. Around 240 BC, Eratosthenes calculated the Earth's circumference to a fairly accurate value without ever leaving Egypt using shadows and geometry. Christopher Columbus did not sail on his famous voyage in order to prove the earth was round. Rather, he sailed to try to find a quicker route to the Indes going West instead of East, knowing that a round earth means you can go either way. The myth that people once believed the earth was flat was created by authors such as Draper and Dickson in order to exaggerate the conflict between religion and science.";operation,plus,driven,adventure,trap
Edexcel;A;7707 - Accounting;2002;Oct Nov;"Why do car tires protect you from lightning strikes?
";"Car tires do not protect you from lightning strikes. Although the rubber in a tire acts as an insulator at low voltages, the voltage in a lighting bolt is far too high to be stopped by tires or air. No matter how thick your tires are, they don't stop lightning according to physicist Martin Uman in his book ""All About Lightning"". Dr. Uman states that inside a car can be a safe place to wait out a lighting storm, but it's not because any materials are blocking the lightning.";Rather, if the car is struck by lightning, its metal frame redirects the electrical current around the sides of the car and into the ground without touching the interior contents. The ability of a hollow conducting object to protect its interior from electrical fields and currents is one of the fundamental principles of electromagnetics. Such an object is called a Faraday cage. For this reason, riding around in a convertible, on a motorbike or on a bicycle during a lightning storm is a bad idea, no matter what kind of tires it has. If you are in a fully-enclosed metal vehicle, you should be protected from the lighting by the Faraday-cage effect. However, you should still park the vehicle and wait out the storm since a lightning strike can blow out your tires or blow out your vehicle's electronic control circuits, potentially causing you to crash if you are driving. If you are riding in a convertible or roofless vehicle, on a motorbike, or on a bicycle and are caught in a lightning storm, you should quickly seek out the nearest shelter. If a building, tunnel, or other large sheltering structure is not readily available, seek out a low point in the terrain away from water, away from isolated trees, and away from other tall structures (e.g. windmills, power-line towers).;;regular,pay,laid,happily,were
Edexcel;A;5054 - Physics;2020;May Jun;Why does a magnetic compass point to the Geographic North Pole?;A magnetic compass does not point to the geographic north pole. A magnetic compass points to the earth's magnetic poles, which are not the same as earth's geographic poles. Furthermore, the magnetic pole near earth's geographic north pole is actually the south magnetic pole.;"When it comes to magnets, opposites attract. This fact means that the north end of a magnet in a compass is attracted to the south magnetic pole, which lies close to the geographic north pole. Magnetic field lines outside of a permanent magnet always run from the north magnetic pole to the south magnetic pole. Therefore, the magnetic field lines of the earth run from the southern geographic hemisphere towards the northern geographic hemisphere.

The geographic north and south poles indicate the points where the earth's rotation axis intercepts earth's surface. Consider holding a tennis ball between your thumb and forefinger and pushing on the side to make it spin. The points where your thumb and finger make contact are the geographic north and south poles of the tennis ball's spin. A person standing on the equator is moving the fastest due to earth's rotation, while a person standing on a geographic pole does not move at all from earth's rotation. Earth's magnetic poles designate the central location of the region where the magnetic fields lines start and finish. Earth's geographic and magnetic poles are not exactly aligned because they arise from different mechanisms. Earth's magnetic field is caused by circulating currents of liquid iron in the outer core.";Furthermore, earth's magnetic poles are constantly changing location relative to earth's geographic poles. Currently, the magnetic south pole lies about ten degrees distant from the geographic north pole, and sits in the Arctic Ocean north of Alaska. The north end on a compass therefore currently points roughly towards Alaska and not exactly towards geographic north.;applied,nearer,say,of,bring
Edexcel;A;5054 - Physics;2011;Jan Feb;Why does the coldest time of the year align with the darkest time of the year?;In general, the coldest time of the year does not align with the darkest time of the year. The basic reason for this discrepancy is the fact that objects take time to cool down and heat up.;"The earth rotates daily about its rotational axis, which is an imaginary line connecting the North and South geographic poles. In addition, the earth orbits once a year in a nearly circular path around the sun. The axis of earth's rotational motion is tilted 23.4° away from the axis of its orbital motion around the sun. Due to the conservation of angular momentum, earth's rotational axis always points roughly to the same region in the starry sky (generally towards Polaris). This means that as the earth orbits the sun, at one point in the year, the North Pole is tilted 23.4° directly towards the sun (the northern summer solstice); at another point in the year, the North Pole is tilted 23.4° directly away from the sun (the northern winter solstice); and at two other points in the year, the North Pole is titled 23.4° exactly to the side with respect to the sun (spring equinox and autumn equinox).

orbit of the earth and its tilt creating the seasons
The day of the year when the Northern Hemisphere receives the least average sunlight is Dec. 21, which is about a month before the average coldest day of the year. Public Domain Image, source: Christopher S. Baird.
The more a spot on earth's surface is tilted away from the sun, the less time that spot spends each day in daylight. The day that the North Pole tilts the most away from the sun is therefore the shortest day of the year (plus or minus a day because of the way we define time zones), and the day that the North Pole tilts the most towards the sun is the longest day of the year (plus or minus a day). The northern winter solstice occurs every year some time between Dec. 20 and Dec. 22. The exact day changes because of the way we as humans have designed our calendar and time zones and not because the actual timing of the solstice physically changes every year. As soon as Dec. 20-22 has come and gone on the Northern Hemisphere, the days begin getting longer and brighter.

Since sunlight is the principal agent that warms the earth, and since the Northern Hemisphere starts getting more light every day after Dec. 20-22, you may be led to believe that Dec. 20-22 is not only the darkest time of the year, but also the coldest time of the year. But this assumption is false. In the Northern Hemisphere, the coldest time of year is generally the middle of January. The exact day that is the coldest varies from town to town, and from year to year because the weather is a very complex phenomenon shaped by many factors. But averaged over many years and over many locations, the coldest time of year is the middle of January. The coldest time of year is therefore typically 3 to 4 weeks after the darkest time of year. Why?";While it is true that the earth is mostly warmed by sunlight, it takes time for the earth to cool down and heat back up after the sunlight has reached the minimum in its cycle. Summer heat is stored in the ground, plants, and water on earth's surface. When the low-light conditions of December come, the earth is losing a lot of heat but has not lost all of it compared to the coldest day. Even though the end of December and beginning of January has more light warming the earth than on winter solstice, there is not enough heat being inputted by the light to offset the massive amounts of heat still being lost by the earth because of its previously high temperatures. The average coldest day of the year in middle January is only reached when the heat inputted by the increasing levels of sunlight overcomes the amount of heat lost by the earth each day. The situation is a bit like putting hot soup that is at 200° F into an oven that is at 100° F, but is steadily increasing to 300° F. The soup will at first cool down even though more and more heat is being pumped into the soup every minute. Eventually, the oven's temperature surpasses the temperature of the cooling soup, and the soup begins heating up again.;refer,add,done,official,directly
Edexcel;O;2210 - Computer Science;2016;Oct Nov;Why doesn't the outside world appear blue even though so much light comes from the blue sky?;Actually, a lot of the outside world on a sunny day is tinted blue because of the blue sky. The blue tinting of the outside world is quite striking if you know how to look for it.;"Sunlight that has just left the sun contains a relatively equal mix of all spectral colors and is therefore white. When the sunlight passes through the air in earth's atmosphere, some of the light is scattered sideways by the air molecules. The air molecules scatter a little bit of all colors out of the forward-traveling beam of sunlight, but blue and violet colors are scattered the most, giving the sky a whitish-blue appearance. Since more blue and violet light have been removed from the forward traveling beam than other colors, the direct sunlight that reaches earth's surface is slightly tinted orange-red compared to the sunlight given off at the sun's surface. But this orange-red tint is so small (because the total amount of light scattered out by the atmosphere is small compared to the sunlight that continues on in the forward direction) that direct sunlight that reaches earth's surface is still white.

The white direct sunlight is much brighter than the blue skylight, and this is the main reason that the entire outside world is not completely blue. White light contains all colors, so a scene illuminated by white light will show all the innate colors of the objects in the scene. When illuminated by white light such as sunlight, we are able to see the grass as green, the flowers as red and wood as brown. The world shows its usual mix of colors when illuminated by white light.

checkerboard and shadow showing relative color perception
This diagram illustrates how our eyes are good at seeing relative color but not absolute color. The squares of color containing the black dots are both exactly the same color, but our eyes can't see this because our perception is overloaded with local relative color difference information. Public Domain Image, source: Christopher S. Baird.";"White sunlight is so bright compared to blue skylight that when an object is in direct sunlight, it just looks like its innate color. But, when an object is in shadow so that direct sunlight cannot reach it (and there are not too many clouds that block the skylight), the object is now being illuminated only by blue skylight. Shadows on a clear day are therefore blue tinted. The more shadows there are, the more the world around you is tinted blue. When the sun is low in the sky and behind the trees, the entire landscape can end up being shadowed from direct sunlight and therefore be blue tinted. We often don't notice the blueness of the outside world because our human eyes are better at seeing relative color than absolute color. This means that our eyes are better at picking out color differences than at picking out an overall color on an absolute scale, as shown in the image above. But the blue tint of the outside world becomes obvious if you look into an area of deep shadow on a bright, clear day. The blue tint of shadows can make for dazzling scenery worthy of being painted or photographed.

winter scene of snow on deck showing blue shadows
When the scenery includes a lot of shadow and there is snow on the ground to reflect a lot of the light, the blue tint of the outside world caused by the sky becomes obvious. Public Domain Image, source: Christopher S. Baird.";syllable,cap,of,whistle,frequently
Edexcel;O;7707 - Accounting;2013;Aug Sep;"Why don't the oceans freeze?
";If the temperature is cold enough, ocean water does freeze. The polar ice cap at earth's North Pole is a giant slab of frozen ocean water. At earth's South Pole, the land mass constituting Antarctica complicates the situation, so most of the ice there is compacted snow. Over cold regions such as Antarctica, Greenland, and Canada, the fresh water in the air freezes to snow and falls onto the land without a melting season to get rid of it.;"Over time, this snow builds up and compacts into an ice mass known as a glacier. Gravity slowly pulls the glacier downhill until it reaches out onto the ocean, forming an ice shelf. The ocean-bound edge of the ice shelf slowly crumbles into icebergs which float off on their own path. For this reason, glaciers, ice shelves, and icebergs are all thick sheets of frozen fresh water and not frozen ocean water. In contrast, when ocean water freezes, it forms a thin flat layer known as sea ice or pack ice. Sea ice has long been the enemy of ships seeking an open route through cold waters, but modern ice breaker ships have no problem breaking a path through the fields of frozen ocean.

Despite the fact that the oceans do freeze when the temperature is cold enough, ocean water does indeed stay liquid under much colder weather than one would first expect. For instance, go to the beach on a winter day and you may be surprised to find that the ocean is still liquid despite the snow and ice on the ground being frozen. There are four main factors that keep the ocean in a liquid state much more than may be expected, as described in the textbook Essentials of Oceanography by Tom Garrison.

1. Salt
The high concentration of salt in ocean water lowers its freezing point from 32° F (0° C) to 28° F (-2° C). As a result, the ambient temperature must reach a lower point in order to freeze the ocean than to freeze freshwater lakes. This freezing-point depression effect is the same reason we throw salt on icy sidewalks in the winter. The salt lowers the freezing point of the ice below the ambient temperature and it melts. Note that if the ambient temperature is lower than 28° F (-2° C), the ocean water would be ice if this were the only effect involved. Such is not the case, so there must be other effects involved.

2. Ocean currents
The gravitational pull of the moon, earth's spinning motion, and thermal convection combine to create large-scale flows of ocean water known as ocean currents. This constant motion of the ocean water helps keep the water molecules from freezing into the somewhat stationary state of ice crystals. More significantly, the ocean currents continuously pump warm water from the equatorial regions to the colder ocean regions.

3. High volume
The larger the volume of water, the more heat has to be removed in order to freeze it. A teaspoon of water placed in the freezer will become completely solid long before a gallon jug of water. More accurately, it is the surface-area to volume ratio for a given external temperature that determines the rate of heat loss and therefore the speed of freezing. Because the heat must be lost through its surface, a small shallow puddle with a large surface will freeze quicker than a deep lake. The immense volume and depth of the oceans keeps them from freezing too quickly, thereby allowing the heating mechanisms to have a larger effect.

4. Earth's internal heating
As miners are well aware, the earth gets hotter and not colder as you dig straight down, despite the fact that you are getting farther away from the warm sunlight. The reason for this is that the earth has its own internal heat source which is driven primarily by the nuclear decay of elements inside earth's mantle. The earth's internal heat is most evident when lava flows and hot springs poke through the surface. Because earth's insulating crust is much thinner under the oceans than under the continents, most of the earth's internal heat escapes into the oceans. Although the temperature of the air at an ocean's surface may be freezing, the temperature of the water deep in the ocean is significantly warmer due to internal heating.";This combination of salt, ocean currents, high volume, and internal heating keeps most of the ocean in liquid form even during cold winters.;sky,region,pay,bend,west
